Milestone_ID,Project_ID,Milestone_Name,Planned_Date,Actual_Date,Status,Milestone_Delay_Days,Delay_Category
M5355,P1064,Major Construction,2024-03-01,2024-03-21,Completed,20.0,Minor Delay
M5356,P1064,Testing,2024-07-23,,Not Started,,On Time
M5357,P1065,Design Approval,2024-03-06,,Not Started,,On Time
M5358,P1065,Structural Work,2024-06-28,,Not Started,,On Time
M5359,P1065,Testing,2024-10-19,2024-12-26,Delayed,68.0,Extreme Delay
M5360,P1065,Final Handover,2025-02-10,2025-02-10,Delayed,0.0,On Time
M5361,P1066,Final Handover,2023-12-29,2024-01-03,Delayed,5.0,On Time
M5362,P1066,Safety Inspection,2024-03-21,2024-05-20,Completed,60.0,Extreme Delay
M5363,P1066,Structural Work,2024-06-12,2024-07-02,Delayed,20.0,Minor Delay
M5364,P1066,Foundation,2024-09-03,2024-09-03,Completed,0.0,On Time
M5365,P1066,Land Acquisition,2024-11-25,2024-11-25,Completed,0.0,On Time
M5366,P1067,,2024-04-29,2024-05-19,Completed,20.0,Minor Delay
M5367,P1067,Testing,2024-08-17,2024-09-06,Delayed,20.0,Minor Delay
M5368,P1067,Foundation,2024-12-04,2025-01-23,Delayed,50.0,Extreme Delay
M5369,P1067,Final Handover,2025-03-24,,In Progress,,On Time
M5370,P1067,Safety Inspection,2025-07-12,2025-09-17,Delayed,67.0,Extreme Delay
M5371,P1067,Land Acquisition,2025-10-29,2026-01-13,Delayed,76.0,Extreme Delay
M5372,P1067,Major Construction,2026-02-16,2026-03-08,Delayed,20.0,Minor Delay
M5373,P1068,Major Construction,2025-11-14,2025-11-16,Delayed,2.0,On Time
M5374,P1068,Final Handover,2026-03-17,2026-04-21,Delayed,35.0,Major Delay
M5375,P1068,Foundation,2026-07-18,2026-08-07,Delayed,20.0,Minor Delay
M5376,P1068,Structural Work,2026-11-19,2026-12-10,Delayed,21.0,Minor Delay
M5377,P1068,Design Approval,2027-03-22,2027-04-26,Completed,35.0,Major Delay
M5378,P1068,Testing,2027-07-23,,Pending,,On Time
M5379,P1069,Safety Inspection,2025-10-07,,Not Started,,On Time
M5380,P1069,Land Acquisition,2025-11-26,2025-12-06,Completed,10.0,Minor Delay
M5381,P1069,Final Handover,2026-01-14,,Not Started,,On Time
M5382,P1069,Foundation,2026-03-05,2026-05-04,Completed,60.0,Extreme Delay
M5383,P1069,Design Approval,2026-04-24,,In Progress,,On Time
M5384,P1069,Structural Work,2026-06-12,2026-08-11,Completed,60.0,Extreme Delay
M5385,P1069,Testing,2026-08-01,2026-09-30,Completed,60.0,Extreme Delay
M5386,P1070,Land Acquisition,2025-09-15,2025-09-20,Delayed,5.0,On Time
M5387,P1070,Foundation,2026-01-20,2026-01-30,Delayed,10.0,Minor Delay
M5388,P1070,Design Approval,2026-05-27,2026-06-12,Delayed,16.0,Minor Delay
M5389,P1070,Final Handover,2026-09-30,2026-10-23,Delayed,23.0,Minor Delay
M5390,P1070,Testing,2027-02-04,,Not Started,,On Time
M5391,P1071,Testing,2024-01-02,,Not Started,,On Time
M5392,P1071,Foundation,2024-05-01,2024-05-03,Delayed,2.0,On Time
M5393,P1071,Safety Inspection,2024-08-29,2024-09-18,Completed,20.0,Minor Delay
M5394,P1071,Design Approval,2024-12-27,2025-01-01,Completed,5.0,On Time
M5395,P1071,Major Construction,2025-04-26,,In Progress,,On Time
M5396,P1071,Structural Work,2025-08-24,,Not Started,,On Time
M5397,P1072,Final Handover,2026-02-06,,In Progress,,On Time
M5398,P1072,Structural Work,2026-04-16,,Not Started,,On Time
M5399,p1072,Major Construction,2026-06-24,,In Progress,,On Time
M5400,P1072,Safety Inspection,2026-09-01,2026-09-01,Delayed,0.0,On Time
M5401,P1072,Design Approval,2026-11-09,,Pending,,On Time
M5402,P1072,Testing,2027-01-17,,Pending,,On Time
M5403,P1073,Safety Inspection,2023-02-22,,Pending,,On Time
M5404,P1073,Foundation,2023-06-09,2023-06-19,Completed,10.0,Minor Delay
M5405,P1073,Major Construction,2023-09-24,2023-09-26,Delayed,2.0,On Time
M5406,P1073,Testing,2024-01-08,2024-01-10,Completed,2.0,On Time
M5407,P1073,Land Acquisition,2024-04-24,2024-05-29,,35.0,Major Delay
M5408,P1073,Final Handover,2024-08-09,2024-08-11,Completed,2.0,On Time
M5409,P1074,Major Construction,2023-02-09,,In Progress,,On Time
M5410,P1074,Design Approval,2023-05-30,2023-05-30,Completed,0.0,On Time
M5411,P1074,,2023-09-17,,Not Started,,On Time
M5412,P1074,Testing,2024-01-05,,In Progress,,On Time
M5413,P1074,Final Handover,2024-04-24,,Not Started,,On Time
M5414,P1075,Final Handover,2024-06-09,2024-06-29,Completed,20.0,Minor Delay
M5415,P1075,Foundation,2024-09-30,2024-11-29,Completed,60.0,Extreme Delay
M5416,P1075,Major Construction,2025-01-21,2025-03-22,Completed,60.0,Extreme Delay
M5417,P1075,Safety Inspection,2025-05-14,2025-07-13,Delayed,60.0,Extreme Delay
M5418,P1076,Land Acquisition,2025-09-01,,In Progress,,On Time
M5419,P1076,Major Construction,2025-10-14,2025-10-14,Completed,0.0,On Time
M5420,P1076,Foundation,2025-11-26,,In Progress,,On Time
M5421,P1076,Structural Work,2026-01-08,,In Progress,,On Time
M5422,P1076,Design Approval,2026-02-19,2026-04-20,Completed,60.0,Extreme Delay
M5423,P1076,Safety Inspection,2026-04-03,2026-04-08,,5.0,On Time
M5424,P1076,Final Handover,2026-05-16,2026-06-05,Completed,20.0,Minor Delay
M5425,P1077,Foundation,2025-07-17,2025-09-16,Delayed,61.0,Extreme Delay
M5426,P1077,Structural Work,2025-11-28,,In Progress,,On Time
M5427,P1077,Safety Inspection,2026-04-11,2026-05-01,Completed,20.0,Minor Delay
M5428,P1077,Design Approval,2026-08-23,,Not Started,,On Time
M5429,P1077,Testing,2027-01-04,2027-01-04,Completed,0.0,On Time
M5430,P1077,Final Handover,2027-05-18,,Not Started,,On Time
M5431,P1078,Safety Inspection,2025-09-30,2025-10-02,Completed,2.0,On Time
M5432,P1078,Design Approval,2025-12-02,,In Progress,,On Time
M5433,P1078,Final Handover,2026-02-02,2026-04-03,Completed,60.0,Extreme Delay
M5434,P1078,Testing,2026-04-06,2026-05-11,Completed,35.0,Major Delay
M5435,P1078,Structural Work,2026-06-07,2026-08-06,Completed,60.0,Extreme Delay
M5436,P1078,Land Acquisition,2026-08-09,2026-09-13,Completed,35.0,Major Delay
M5437,P1078,Foundation,2026-10-10,2026-10-15,Completed,5.0,On Time
M5438,P1079,Testing,2026-01-23,2026-01-28,Completed,5.0,On Time
M5439,P1079,Major Construction,2026-04-04,,Not Started,,On Time
M5440,P1079,Safety Inspection,2026-06-14,,Pending,,On Time
M5441,P1079,Foundation,2026-08-24,,In Progress,,On Time
M5442,P1079,Final Handover,2026-11-03,2026-12-08,Delayed,35.0,Major Delay
M5443,P1079,Land Acquisition,2027-01-13,,In Progress,,On Time
M5444,P1080,Safety Inspection,2022-08-15,,Pending,,On Time
M5445,P1080,Major Construction,2023-02-14,,Not Started,,On Time
M5446,P1080,Foundation,2023-08-16,,In Progress,,On Time
M5447,P1080,Structural Work,2024-02-15,2024-03-06,Delayed,20.0,Minor Delay
M5448,P1081,Design Approval,2024-03-24,2024-04-28,Completed,35.0,Major Delay
M5449,P1081,Final Handover,2024-06-25,,Not Started,,On Time
M5450,P1081,Foundation,2024-09-26,,In Progress,,On Time
M5451,P1081,Safety Inspection,2024-12-28,,In Progress,,On Time
M5452,P1082,Safety Inspection,2022-06-22,,Not Started,,On Time
M5453,P1082,Design Approval,2022-10-04,,Pending,,On Time
M5454,P1082,Final Handover,2023-01-16,2023-01-26,Completed,10.0,Minor Delay
M5455,P1082,Land Acquisition,2023-04-30,2023-05-10,Completed,10.0,Minor Delay
M5456,P1082,Testing,2023-08-12,2023-08-22,Completed,10.0,Minor Delay
M5457,P1082,Foundation,2023-11-24,2023-12-14,Completed,20.0,Minor Delay
M5458,P1082,Major Construction,2024-03-07,2024-03-17,Completed,10.0,Minor Delay
M5459,P1083,Structural Work,2023-09-19,2023-11-18,Completed,60.0,Extreme Delay
M5460,P1083,Testing,2023-11-26,,Completed,,On Time
M5461,P1083,Foundation,2024-02-02,2024-02-07,Delayed,5.0,On Time
M5462,P1083,Final Handover,2024-04-10,2024-06-09,Completed,60.0,Extreme Delay
M5463,P1083,Design Approval,2024-06-17,2024-06-19,Completed,2.0,On Time
M5464,P1084,Safety Inspection,2026-02-10,2026-04-11,Completed,60.0,Extreme Delay
M5465,P1084,Major Construction,2026-06-06,2026-06-11,Delayed,5.0,On Time
M5466,P1084,Testing,2026-09-30,2026-10-05,Completed,5.0,On Time
M5467,P1084,Final Handover,2027-01-25,2027-03-26,Completed,60.0,Extreme Delay
M5468,P1084,Foundation,2027-05-21,2027-05-31,Completed,10.0,Minor Delay
M5469,P1084,Design Approval,2027-09-14,,In Progress,,On Time
M5470,P1084,Structural Work,2028-01-08,,In Progress,,On Time
M5471,P1085,Land Acquisition,2025-10-27,2025-10-29,Delayed,2.0,On Time
M5472,P1085,Safety Inspection,2026-01-24,2026-02-03,Delayed,10.0,Minor Delay
M5473,P1085,Structural Work,2026-04-22,2026-05-27,Delayed,35.0,Major Delay
M5474,P1085,Foundation,2026-07-20,2026-07-22,Completed,2.0,On Time
M5475,P1085,Design Approval,2026-10-16,2026-11-20,Completed,35.0,Major Delay
M5476,P1085,Final Handover,2027-01-13,,Completed,,On Time
M5477,P1086,Major Construction,2026-02-22,2026-03-29,Delayed,35.0,Major Delay
M5478,P1086,Structural Work,2026-05-11,,In Progress,,On Time
M5479,P1086,Design Approval,2026-07-29,,In Progress,,On Time
M5480,P1086,Land Acquisition,2026-10-15,2026-10-15,Completed,0.0,On Time
M5481,P1086,Testing,2027-01-02,2027-01-22,Completed,20.0,Minor Delay
M5482,P1086,Final Handover,2027-03-21,2027-03-21,Completed,0.0,On Time
M5483,P1087,Foundation,2024-06-10,2024-06-20,Completed,10.0,Minor Delay
M5484,P1087,Testing,2024-10-20,2024-10-25,Delayed,5.0,On Time
M5485,P1087,Structural Work,2025-03-01,,In Progress,,On Time
M5486,P1087,Land Acquisition,2025-07-12,,Pending,,On Time
M5487,P1087,Design Approval,2025-11-21,2026-01-20,Completed,60.0,Extreme Delay
M5488,P1087,Major Construction,2026-04-02,2026-06-01,Delayed,60.0,Extreme Delay
M5489,P1088,Final Handover,2026-03-17,,Completed,,On Time
M5490,P1088,Design Approval,2026-07-19,2026-09-17,Completed,60.0,Extreme Delay
M5491,P1088,Safety Inspection,2026-11-20,2026-11-30,Completed,10.0,Minor Delay
M5492,P1088,Foundation,2027-03-24,2027-03-24,Completed,0.0,On Time
M5493,P1089,,2023-09-12,,Pending,,On Time
M5494,P1089,Major Construction,2023-11-05,,Pending,,On Time
M5495,P1089,Testing,2023-12-29,,Not Started,,On Time
M5496,P1089,Final Handover,2024-02-22,2024-02-27,Delayed,5.0,On Time
M5497,P1089,Structural Work,2024-04-16,,Pending,,On Time
M5498,P1089,Safety Inspection,2024-06-09,2024-06-09,Completed,0.0,On Time
M5499,P1089,Foundation,2024-08-02,,Pending,,On Time
M5500,P1090,Testing,2023-04-04,2023-04-04,Delayed,0.0,On Time
M5501,P1090,Land Acquisition,2023-05-13,2023-06-16,Delayed,34.0,Major Delay
M5502,P1090,Design Approval,2023-06-21,2023-06-21,Completed,0.0,On Time
M5503,P1090,Foundation,2023-07-30,2023-07-30,Completed,0.0,On Time
M5504,P1090,Safety Inspection,2023-09-06,,Not Started,,On Time
M5505,P1090,Final Handover,2023-10-15,2023-10-20,Completed,5.0,On Time
M5506,P1090,Structural Work,2023-11-23,2023-12-21,Delayed,28.0,Major Delay
M5507,P1091,Final Handover,2023-02-03,2023-02-13,Completed,10.0,Minor Delay
M5508,P1091,Design Approval,2023-06-15,2023-06-25,Completed,10.0,Minor Delay
M5509,P1091,Foundation,2023-10-25,2023-10-30,Completed,5.0,On Time
M5510,P1091,Major Construction,2024-03-05,2024-03-15,Completed,10.0,Minor Delay
M5511,P1091,Testing,2024-07-15,2024-07-25,Completed,10.0,Minor Delay
M5512,P1092,Testing,2023-08-15,2023-09-04,Completed,20.0,Minor Delay
M5513,P1092,Foundation,2023-10-03,2023-10-05,Delayed,2.0,On Time
M5514,P1092,Final Handover,2023-11-21,2023-11-26,Completed,5.0,On Time
M5515,P1092,Structural Work,2024-01-09,2024-03-09,Delayed,60.0,Extreme Delay
M5516,P1092,Safety Inspection,2024-02-27,2024-02-27,Completed,0.0,On Time
M5517,P1093,Testing,2023-08-21,2023-09-25,Delayed,35.0,Major Delay
M5518,P1093,Final Handover,2024-01-13,2024-01-15,Completed,2.0,On Time
M5519,P1093,Land Acquisition,2024-06-06,2024-07-11,Completed,35.0,Major Delay
M5520,P1093,Major Construction,2024-10-29,2024-11-18,Completed,20.0,Minor Delay
M5521,P1093,Structural Work,2025-03-23,2025-03-25,Completed,2.0,On Time
M5522,P1094,Structural Work,2024-08-29,2024-09-18,,20.0,Minor Delay
M5523,P1094,Land Acquisition,2024-10-31,,Not Started,,On Time
M5524,P1094,Final Handover,2025-01-02,,Not Started,,On Time
M5525,P1094,Design Approval,2025-03-06,2025-03-11,Completed,5.0,On Time
M5526,P1095,Land Acquisition,2024-01-14,,Pending,,On Time
M5527,P1095,Design Approval,2024-06-03,2024-07-08,Completed,35.0,Major Delay
M5528,P1095,Testing,2024-10-22,2024-11-26,Delayed,35.0,Major Delay
M5529,P1095,Structural Work,2025-03-12,,Not Started,,On Time
M5530,P1096,Major Construction,2023-08-23,2023-08-23,Completed,0.0,On Time
M5531,P1096,Final Handover,2024-01-03,2024-01-03,Completed,0.0,On Time
M5532,P1096,Land Acquisition,2024-05-14,2024-06-03,Delayed,20.0,Minor Delay
M5533,P1096,Testing,2024-09-24,2024-10-14,Completed,20.0,Minor Delay
M5534,P1097,Safety Inspection,2022-07-12,2022-09-19,Delayed,69.0,Extreme Delay
M5535,P1097,Testing,,,Pending,,On Time
M5536,P1097,Land Acquisition,2022-10-31,2023-01-05,Delayed,66.0,Extreme Delay
M5537,P1097,Major Construction,2022-12-26,2023-01-30,Completed,35.0,Major Delay
M5538,P1097,Foundation,2023-02-19,2023-03-11,Delayed,20.0,Minor Delay
M5539,P1098,Testing,2024-07-16,2024-08-20,Completed,35.0,Major Delay
M5540,P1098,Major Construction,2024-10-10,,Not Started,,On Time
M5541,P1098,Foundation,2025-01-04,2025-01-14,Completed,10.0,Minor Delay
M5542,P1098,Final Handover,2025-03-31,2025-04-10,Delayed,10.0,Minor Delay
M5543,P1098,Structural Work,2025-06-25,,Pending,,On Time
M5544,P1098,Safety Inspection,2025-09-19,,In Progress,,On Time
M5545,P1099,Foundation,2023-05-30,,Pending,,On Time
M5546,P1099,Final Handover,2023-08-18,,Pending,,On Time
M5547,P1099,Land Acquisition,2023-11-05,2023-12-25,Delayed,50.0,Extreme Delay
M5548,P1099,Safety Inspection,2024-01-24,,Not Started,,On Time
M5549,P1100,Design Approval,2025-11-12,2025-11-17,Completed,5.0,On Time
M5550,P1100,Land Acquisition,2026-04-16,2026-06-15,Completed,60.0,Extreme Delay
M5551,P1100,Structural Work,2026-09-18,2026-09-28,Completed,10.0,Minor Delay
M5552,P1100,Foundation,2027-02-20,,Not Started,,On Time
M5553,P1100,Final Handover,2027-07-25,2027-08-04,Completed,10.0,Minor Delay
M5554,P1101,Design Approval,2022-03-07,2022-03-07,Completed,0.0,On Time
M5555,P1101,Major Construction,2022-04-29,2022-06-28,Delayed,60.0,Extreme Delay
M5556,P1101,Testing,2022-06-21,2022-08-20,Completed,60.0,Extreme Delay
M5557,P1101,Foundation,2022-08-13,,Pending,,On Time
M5558,P1101,Land Acquisition,2022-10-05,,Not Started,,On Time
M5559,P1101,Safety Inspection,2022-11-27,,Not Started,,On Time
M5560,P1101,Final Handover,2023-01-19,,In Progress,,On Time
M5561,P1102,Major Construction,2024-11-12,2024-11-14,Completed,2.0,On Time
M5562,P1102,Final Handover,2025-03-10,2025-03-12,Completed,2.0,On Time
M5563,P1102,Land Acquisition,2025-07-06,2025-08-10,Delayed,35.0,Major Delay
M5564,P1102,Foundation,2025-11-01,2025-12-31,Completed,60.0,Extreme Delay
M5565,P1103,Safety Inspection,2025-12-04,2025-12-14,Completed,10.0,Minor Delay
M5566,P1103,Foundation,2026-01-27,2026-02-01,Completed,5.0,On Time
M5567,P1103,Structural Work,2026-03-22,2026-04-01,Completed,10.0,Minor Delay
M5568,P1103,Design Approval,2026-05-15,2026-05-25,Completed,10.0,Minor Delay
M5569,P1103,Major Construction,2026-07-08,2026-08-12,Completed,35.0,Major Delay
M5570,P1104,Structural Work,2026-03-24,,Not Started,,On Time
M5571,P1104,Land Acquisition,2026-08-27,2026-10-01,Delayed,35.0,Major Delay
M5572,P1104,Foundation,2027-01-30,2027-02-04,Completed,5.0,On Time
M5573,P1104,Final Handover,2027-07-04,2027-07-24,Completed,20.0,Minor Delay
M5574,P1104,Testing,2027-12-07,,Pending,,On Time
M5575,P1105,Final Handover,2023-12-24,2023-12-29,Completed,5.0,On Time
M5576,P1105,Major Construction,2024-02-14,2024-04-14,Completed,60.0,Extreme Delay
M5577,P1105,Design Approval,2024-04-06,2024-04-06,Completed,0.0,On Time
M5578,P1105,Structural Work,2024-05-27,2024-05-29,Completed,2.0,On Time
M5579,P1105,Land Acquisition,2024-07-18,2024-08-22,Completed,35.0,Major Delay
M5580,P1105,Safety Inspection,2024-09-08,2024-09-18,Completed,10.0,Minor Delay
M5581,P1106,Structural Work,2022-07-04,,Delayed,,On Time
M5582,P1106,Testing,2022-10-10,2022-10-12,Completed,2.0,On Time
M5583,P1106,Major Construction,2023-01-16,2023-02-20,Completed,35.0,Major Delay
M5584,P1106,Design Approval,2023-04-24,2023-04-24,Completed,0.0,On Time
M5585,P1106,Safety Inspection,2023-07-31,2023-09-04,Completed,35.0,Major Delay
M5586,P1106,Foundation,2023-11-06,2023-12-11,Completed,35.0,Major Delay
M5587,P1107,Safety Inspection,2024-01-19,,Pending,,On Time
M5588,P1107,Testing,2024-04-11,2024-05-16,Delayed,35.0,Major Delay
M5589,P1107,Foundation,2024-07-03,2024-07-13,Completed,10.0,Minor Delay
M5590,P1107,Final Handover,2024-09-24,,In Progress,,On Time
M5591,P1108,Foundation,2024-07-10,2024-07-27,Delayed,17.0,Minor Delay
M5592,P1108,Design Approval,2024-10-29,2024-11-18,Completed,20.0,Minor Delay
M5593,P1108,Major Construction,2025-02-18,2025-02-28,Completed,10.0,Minor Delay
M5594,P1108,Structural Work,2025-06-09,2025-07-14,Completed,35.0,Major Delay
M5595,P1109,Major Construction,2025-10-08,2025-10-18,Completed,10.0,Minor Delay
M5596,P1109,Design Approval,2025-12-03,2025-12-08,Completed,5.0,On Time
M5597,P1109,Final Handover,2026-01-28,2026-02-07,Completed,10.0,Minor Delay
M5598,P1109,Foundation,2026-03-25,2026-04-04,Completed,10.0,Minor Delay
M5599,P1109,Land Acquisition,2026-05-20,2026-06-09,Completed,20.0,Minor Delay
M5600,P1109,Testing,2026-07-15,2026-07-20,Completed,5.0,On Time
M5601,P1110,Foundation,2025-06-27,2025-07-29,Delayed,32.0,Major Delay
M5602,P1110,Design Approval,2025-09-22,2025-11-21,Completed,60.0,Extreme Delay
M5603,P1110,Testing,2025-12-19,2026-01-23,Delayed,35.0,Major Delay
M5604,P1110,Safety Inspection,2026-03-16,2026-04-05,Completed,20.0,Minor Delay
M5605,P1110,Major Construction,2026-06-11,2026-08-10,Completed,60.0,Extreme Delay
M5606,P1110,Land Acquisition,2026-09-07,2026-11-01,Delayed,55.0,Extreme Delay
M5607,P1110,Structural Work,2026-12-03,,In Progress,,On Time
M5608,P1111,Major Construction,2025-09-23,2025-09-23,Completed,0.0,On Time
M5609,P1111,Structural Work,2025-12-01,2026-01-14,Delayed,44.0,Extreme Delay
M5610,P1111,Testing,2026-02-08,2026-03-24,Delayed,44.0,Extreme Delay
M5611,P1111,Foundation,2026-04-18,2026-06-17,Delayed,60.0,Extreme Delay
M5612,P1111,Design Approval,2026-06-25,2026-08-24,Delayed,60.0,Extreme Delay
M5613,P1111,Land Acquisition,2026-09-02,2026-11-01,Delayed,60.0,Extreme Delay
M5614,P1111,Final Handover,2026-11-10,2027-01-11,Delayed,62.0,Extreme Delay
M5615,p1112,Safety Inspection,2022-11-25,2022-11-25,Delayed,0.0,On Time
M5616,P1112,Structural Work,2023-04-19,,Pending,,On Time
M5617,P1112,Final Handover,2023-09-11,,In Progress,,On Time
M5618,P1112,Design Approval,2024-02-03,2024-03-09,Completed,35.0,Major Delay
M5619,P1112,Major Construction,2024-06-27,,Pending,,On Time
M5620,P1113,Final Handover,2025-01-04,2025-01-06,Delayed,2.0,On Time
M5621,P1113,Safety Inspection,2025-05-10,2025-05-10,Delayed,0.0,On Time
M5622,P1113,Major Construction,2025-09-12,2025-09-22,Completed,10.0,Minor Delay
M5623,P1113,Structural Work,2026-01-16,2026-01-26,Delayed,10.0,Minor Delay
M5624,P1113,Foundation,2026-05-21,2026-05-21,Completed,0.0,On Time
M5625,P1114,Land Acquisition,2026-03-16,2026-03-21,Completed,5.0,On Time
M5626,P1114,Major Construction,2026-06-10,2026-06-20,Completed,10.0,Minor Delay
M5627,P1114,Structural Work,2026-09-04,,Pending,,On Time
M5628,P1114,Safety Inspection,2026-11-29,,Pending,,On Time
M5629,P1114,Final Handover,2027-02-23,2027-03-30,Delayed,35.0,Major Delay
M5630,P1114,Testing,2027-05-20,2027-06-09,Completed,20.0,Minor Delay
M5631,P1114,Design Approval,2027-08-14,2027-09-03,Completed,20.0,Minor Delay
M5632,P1115,Safety Inspection,2022-10-22,,Pending,,On Time
M5633,P1115,Foundation,2023-01-31,2023-03-07,Completed,35.0,Major Delay
M5634,P1115,Structural Work,2023-05-13,2023-06-12,Delayed,30.0,Major Delay
M5635,P1115,Land Acquisition,2023-08-22,2023-09-26,Delayed,35.0,Major Delay
M5636,P1115,Design Approval,2023-12-01,2023-12-26,Delayed,25.0,Major Delay
M5637,P1115,Testing,2024-03-12,2024-03-22,Completed,10.0,Minor Delay
M5638,P1115,Major Construction,2024-06-21,2024-07-01,Completed,10.0,Minor Delay
M5639,P1116,Testing,2026-02-05,,Pending,,On Time
M5640,P1116,Major Construction,2026-07-08,,Pending,,On Time
M5641,P1116,Final Handover,2026-12-08,2026-12-13,Delayed,5.0,On Time
M5642,P1116,,2027-05-10,2027-05-12,Completed,2.0,On Time
M5643,P1116,Safety Inspection,2027-10-10,,Pending,,On Time
M5644,P1117,Major Construction,2024-10-16,,Not Started,,On Time
M5645,P1117,Land Acquisition,2025-03-17,,Not Started,,On Time
M5646,P1117,Structural Work,2025-08-16,,Pending,,On Time
M5647,P1117,Testing,2026-01-15,2026-02-19,Delayed,35.0,Major Delay
M5648,P1118,Safety Inspection,2022-10-29,2022-12-09,Delayed,41.0,Extreme Delay
M5649,P1118,Structural Work,2023-02-01,2023-02-03,Completed,2.0,On Time
M5650,P1118,Land Acquisition,2023-05-07,2023-05-26,Delayed,19.0,Minor Delay
M5651,P1118,Major Construction,2023-08-10,2023-08-10,Completed,0.0,On Time
M5652,P1118,Testing,2023-11-13,,Completed,,On Time
M5653,P1118,Final Handover,2024-02-16,2024-02-18,Completed,2.0,On Time
M5654,P1118,,2024-05-21,2024-06-27,Delayed,37.0,Major Delay
M5655,P1119,Testing,2025-08-23,,In Progress,,On Time
M5656,P1119,Land Acquisition,2025-10-13,,Pending,,On Time
M5657,P1119,Safety Inspection,2025-12-03,2025-12-05,Completed,2.0,On Time
M5658,P1119,Foundation,2026-01-23,2026-03-14,Delayed,50.0,Extreme Delay
M5659,P1119,Major Construction,2026-03-15,2026-03-25,Completed,10.0,Minor Delay
M5660,P1119,Design Approval,2026-05-05,2026-05-27,Delayed,22.0,Minor Delay
M5661,P1119,Structural Work,2026-06-25,2026-07-30,Completed,35.0,Major Delay
M5662,P1120,Major Construction,2023-07-13,,Not Started,,On Time
M5663,P1120,Structural Work,,,Not Started,,On Time
M5664,P1120,Final Handover,2023-11-29,,In Progress,,On Time
M5665,P1120,Foundation,2024-02-07,2024-02-09,Completed,2.0,On Time
M5666,P1120,Testing,2024-04-16,,Pending,,On Time
M5667,P1120,Safety Inspection,2024-06-25,2024-06-25,Delayed,0.0,On Time
M5668,P1120,Design Approval,2024-09-02,,Pending,,On Time
M5669,P1121,Safety Inspection,2025-04-06,,Not Started,,On Time
M5670,P1121,Structural Work,2025-07-26,2025-08-30,Completed,35.0,Major Delay
M5671,P1121,Land Acquisition,2025-11-15,,In Progress,,On Time
M5672,P1121,Foundation,2026-03-06,,In Progress,,On Time
M5673,P1121,Major Construction,2026-06-25,2026-07-15,Completed,20.0,Minor Delay
M5674,P1122,Design Approval,2022-12-28,2023-01-17,Completed,20.0,Minor Delay
M5675,P1122,Testing,2023-04-13,2023-04-15,Completed,2.0,On Time
M5676,P1122,Foundation,2023-07-28,2023-09-01,Delayed,35.0,Major Delay
M5677,P1122,Safety Inspection,2023-11-11,2024-01-10,Completed,60.0,Extreme Delay
M5678,P1123,Final Handover,2022-06-14,2022-08-13,Delayed,60.0,Extreme Delay
M5679,P1123,Design Approval,2022-10-03,2022-10-03,Completed,0.0,On Time
M5680,P1123,Testing,2023-01-22,2023-02-26,Completed,35.0,Major Delay
M5681,P1123,Structural Work,2023-05-12,2023-05-12,Completed,0.0,On Time
M5682,P1123,Foundation,2023-08-31,2023-09-05,Completed,5.0,On Time
M5683,P1124,Foundation,2022-07-04,,Not Started,,On Time
M5684,P1124,Final Handover,2022-10-19,2022-10-21,Delayed,2.0,On Time
M5685,P1124,Land Acquisition,2023-02-02,2023-02-02,Completed,0.0,On Time
M5686,P1124,Safety Inspection,2023-05-20,,In Progress,,On Time
M5687,P1125,Major Construction,2023-04-12,,In Progress,,On Time
M5688,P1125,Structural Work,2023-09-19,2023-09-24,Completed,5.0,On Time
M5689,P1125,Land Acquisition,2024-02-26,2024-02-28,Completed,2.0,On Time
M5690,P1125,Safety Inspection,2024-08-04,2024-08-04,Completed,0.0,On Time
M5691,P1126,Final Handover,2025-04-08,,Pending,,On Time
M5692,P1126,Major Construction,2025-09-25,2025-10-05,Completed,10.0,Minor Delay
M5693,P1126,Land Acquisition,2026-03-14,,Pending,,On Time
M5694,P1126,Structural Work,2026-08-31,,Pending,,On Time
M5695,P1127,Structural Work,2025-11-23,,Not Started,,On Time
M5696,P1127,Testing,2026-01-17,2026-01-22,Completed,5.0,On Time
M5697,P1127,Land Acquisition,2026-03-12,,Not Started,,On Time
M5698,P1127,Final Handover,2026-05-06,,In Progress,,On Time
M5699,P1127,Major Construction,2026-06-29,2026-06-29,Completed,0.0,On Time
M5700,P1128,Land Acquisition,2024-05-30,2024-06-04,Completed,5.0,On Time
M5701,P1128,Major Construction,2024-08-27,2024-10-01,Completed,35.0,Major Delay
M5702,P1128,Foundation,2024-11-24,2024-11-26,Completed,2.0,On Time
M5703,P1128,Design Approval,2025-02-21,2025-03-13,Completed,20.0,Minor Delay
M5704,P1128,Testing,2025-05-21,2025-05-26,Completed,5.0,On Time
M5705,P1128,Final Handover,2025-08-18,2025-09-22,Completed,35.0,Major Delay
M5706,P1129,Foundation,2024-05-04,2024-05-04,Completed,0.0,On Time
M5707,P1129,Land Acquisition,2024-09-14,2024-10-19,Completed,35.0,Major Delay
M5708,P1129,Final Handover,2025-01-25,2025-01-25,Completed,0.0,On Time
M5709,P1129,Major Construction,2025-06-07,2025-06-09,Delayed,2.0,On Time
M5710,P1129,Testing,2025-10-18,2025-10-23,Completed,5.0,On Time
M5711,P1130,Design Approval,2024-09-10,2024-11-09,Delayed,60.0,Extreme Delay
M5712,P1130,Safety Inspection,2024-10-26,2024-10-31,Delayed,5.0,On Time
