Risk_ID,Project_ID,Risk_Type,Probability,Impact,Risk_Status
R9570,P1210,Environmental,High,Medium,Closed
R9571,P1210,Regulatory,High,High,Open
R9572,P1210,Technical,Very High,Medium,Closed
R9573,P1210,Supply Chain,Low,Medium,Closed
R9574,P1211,Technical,High,Critical,Monitoring
R9575,P1211,Land Acquisition,Very High,Critical,Closed
R9576,P1211,Schedule,Low,Low,Closed
R9577,P1211,Supply Chain,Medium,High,Mitigated
R9578,P1211,Technical,Medium,High,Open
R9579,P1212,Land Acquisition,Very High,Low,Closed
R9580,P1212,Regulatory,Low,Low,Open
R9581,P1213,Land Acquisition,High,Low,Monitoring
R9582,P1214,Environmental,Low,Low,Open
R9583,P1214,Environmental,Medium,Critical,Mitigated
R9584,P1214,Financial,Medium,High,Monitoring
R9585,P1215,Financial,Medium,Low,Open
R9586,P1215,Environmental,Medium,Low,Open
R9587,P1215,Financial,Medium,Low,Closed
R9588,P1215,Schedule,Very High,Critical,Open
R9589,P1216,Environmental,Very High,Critical,Mitigated
R9590,P1216,Technical,High,Critical,Open
R9591,P1216,Safety,Medium,Low,Mitigated
R9592,P1217,Land Acquisition,Medium,Medium,Closed
R9593,P1217,Land Acquisition,High,High,Open
R9594,P1218,Schedule,High,Critical,Closed
R9595,P1218,Safety,Very High,Critical,Closed
R9596,P1218,Schedule,Low,High,Closed
R9597,P1219,Financial,Very High,Low,Monitoring
R9598,P1219,Safety,Very High,Low,Monitoring
R9599,P1219,Financial,Very High,Critical,Monitoring
R9600,P1219,Supply Chain,Medium,High,Mitigated
R9601,P1219,Safety,Very High,Low,Mitigated
R9602,P1220,Regulatory,High,Critical,Mitigated
R9603,P1220,Land Acquisition,High,Critical,Open
R9604,P1220,Regulatory,Very High,Critical,Mitigated
R9605,P1221,Schedule,High,High,Closed
R9606,P1221,Environmental,Low,Low,Mitigated
R9607,P1222,Supply Chain,Low,Critical,Closed
R9608,P1223,Technical,Medium,Low,Mitigated
R9609,P1223,Regulatory,,Low,Open
R9610,P1224,Supply Chain,Low,Low,Closed
R9611,P1225,Schedule,Low,Medium,Monitoring
R9612,P1225,Environmental,Very High,Critical,Mitigated
R9613,P1225,Land Acquisition,Medium,High,Closed
R9614,P1225,Safety,High,Medium,Mitigated
R9615,P1225,Financial,Very High,Medium,Open
R9616,P1226,Financial,Medium,Low,Mitigated
R9617,P1227,Safety,Very High,Low,Monitoring
R9618,P1227,Land Acquisition,Very High,Medium,Mitigated
R9619,P1227,Schedule,High,High,Mitigated
R9620,P1228,Schedule,Very High,Critical,Open
R9621,P1228,Schedule,Medium,High,Open
R9622,P1228,Supply Chain,Very High,Medium,Open
R9623,P1228,Regulatory,Low,Medium,Monitoring
R9624,P1229,Regulatory,High,Low,Mitigated
R9625,P1229,Technical,Low,Medium,Monitoring
R9626,P1229,Regulatory,Low,Low,Closed
R9627,P1229,Technical,Low,Low,Monitoring
R9628,P1230,Safety,Medium,High,Open
R9629,P1230,Environmental,Medium,High,Open
R9630,P1230,Supply Chain,Very High,Low,Open
R9631,P1231,Safety,Very High,Low,Closed
R9632,P1232,Land Acquisition,Low,Low,Open
R9633,P1232,Land Acquisition,Medium,High,
R9634,P1232,Financial,High,Medium,Open
R9635,P1233,Land Acquisition,Medium,Critical,Open
R9636,P1234,Technical,Very High,Critical,Mitigated
R9637,P1235,Schedule,Medium,Low,Closed
R9638,P1235,Supply Chain,High,High,Mitigated
R9639,P1235,Environmental,Very High,Low,Mitigated
R9640,P1235,Technical,Low,Low,Mitigated
R9641,P1236,Financial,Low,Low,Mitigated
R9642,P1236,Land Acquisition,Low,Low,Mitigated
R9643,P1236,Supply Chain,Medium,High,Open
R9644,P1236,Safety,High,Medium,Monitoring
R9645,P1236,Schedule,Very High,Critical,Open
R9646,P1237,Supply Chain,High,Medium,Closed
R9647,P1238,Regulatory,Very High,High,Monitoring
R9648,P1238,Schedule,Medium,High,Monitoring
R9649,P1239,Regulatory,High,Critical,Closed
R9650,P1240,Regulatory,Medium,Medium,Mitigated
R9651,P1241,Safety,Medium,Low,Monitoring
R9652,P1241,Land Acquisition,Low,Medium,Closed
R9653,P1241,Financial,Low,Low,Closed
R9654,P1241,Regulatory,High,High,Closed
R9655,P1241,Technical,,Low,Monitoring
R9656,P1242,Land Acquisition,Low,Critical,Closed
R9657,P1242,Technical,Low,Medium,Mitigated
R9658,P1242,Regulatory,Medium,Critical,Open
R9659,P1242,Supply Chain,Low,High,Open
R9660,P1243,Technical,Medium,Low,Monitoring
R9661,P1243,Technical,Very High,Low,Open
R9662,P1243,Regulatory,High,Critical,Closed
R9663,P1244,Safety,Very High,Critical,Mitigated
R9664,P1244,Schedule,Low,High,Monitoring
R9665,P1245,Financial,High,High,Closed
R9666,P1245,Regulatory,High,High,Monitoring
R9667,P1246,Supply Chain,Low,Low,Monitoring
R9668,P1246,Land Acquisition,High,Medium,Closed
R9669,P1246,Land Acquisition,Low,Critical,Open
R9670,P1246,Environmental,Low,High,Closed
R9671,P1246,Regulatory,Very High,Low,Open
R9672,P1247,Safety,High,Low,Closed
R9673,P1247,Land Acquisition,High,High,Monitoring
R9674,P1247,Safety,Medium,Medium,Mitigated
R9675,P1247,Financial,Low,Medium,Open
R9676,P1247,Financial,Medium,Critical,Monitoring
R9677,P1248,Regulatory,Medium,Low,Monitoring
R9678,P1248,Environmental,Low,High,Open
R9679,P1248,Land Acquisition,High,Low,Open
R9680,P1248,Environmental,Low,Low,Mitigated
R9681,P1248,Schedule,High,High,Closed
R9682,P1249,Supply Chain,High,Medium,Open
R9683,P1249,Supply Chain,High,High,Closed
R9684,P1249,Safety,Very High,High,Open
R9685,P1249,Safety,High,Low,Monitoring
R9686,P1250,Supply Chain,Low,Low,Mitigated
R9687,P1250,Financial,High,Medium,Closed
R9688,P1250,Schedule,Medium,Critical,Open
R9689,P1250,Financial,Medium,Critical,Open
R9690,P1250,Regulatory,Very High,Critical,Monitoring
R9691,P1155,Environmental,Low,Low,Mitigated
R9692,P1115,Regulatory,Medium,Low,Closed
R9693,P1235,Schedule,Medium,Low,Closed
R9694,P1195,Environmental,Very High,Medium,Mitigated
R9695,P1098,Regulatory,Very High,Low,Mitigated
R9696,P1127,Safety,,Low,Closed
