Payment_ID,Project_ID,Payment_Date,Amount_Cr,Payment_Status
PAY20542,P1082,2023-11-22,10.94,Paid
PAY20543,P1082,2022-09-22,11.41,Paid
PAY20544,P1082,2023-08-22,11.17,Approved
PAY20545,P1083,2024-03-11,3.07,Paid
PAY20546,P1083,2024-04-27,5.56,Approved
PAY20547,P1083,2024-04-28,1.9,Partially Paid
PAY20548,P1083,2023-08-20,0.36,Partially Paid
PAY20549,P1083,2024-03-03,14.43,Paid
PAY20550,P1083,2024-02-09,5.57,Approved
PAY20551,P1083,2023-09-14,6.65,Approved
PAY20552,P1083,2023-12-07,15.0,Paid
PAY20553,P1084,2028-04-30,7.2,NA
PAY20554,P1084,2027-12-03,9.8,Approved
PAY20555,P1084,2026-01-01,2.33,Pending
PAY20556, P1084,2026-05-16,8.58,Pending
PAY20557,P1084,2027-05-01,2.55,Partially Paid
PAY20558,P1084,2028-01-05,0.83,On Hold
PAY20559,P1084,2028-02-15,3.34,Approved
PAY20560,P1084,2026-12-01,9.36,Pending
PAY20561,P1084,2027-01-19,2.79,On Hold
PAY20562,P1085,2026-03-03,5.63,Paid
PAY20563,P1085,2026-02-12,0.69,Pending
PAY20564,P1085,2026-07-09,6.2,Approved
PAY20565,P1085,2026-05-28,9.42,Paid
PAY20566,P1085,2025-09-25,5.14,Partially Paid
PAY20567,P1086,2026-06-01,13.73,Paid
pay20568,P1086,2027-01-26,11.5,On Hold
PAY20569, P1086,2026-06-27,2.58,Paid
PAY20570,P1087,2024-10-14,1.61,Paid
PAY20571,P1087,2024-06-23,14.54,Partially Paid
PAY20572,P1087,2025-04-29,12.88,On Hold
PAY20573,P1087,2025-05-24,2.23,On Hold
PAY20574,NA,2026-06-06,9.64,Approved
PAY20575,P1087,2025-06-30,7.17,Approved
PAY20576,P1087,2024-07-09,5.01,On Hold
PAY20577,P1087,2025-03-09,14.36,Paid
PAY20578,P1088,2027-05-02,11.29,On Hold
PAY20579,P1088,2026-07-02,2.11,On Hold
PAY20580,P1088,null,12.13,Pending
PAY20581,P1088,2026-08-01,9.97,Paid
PAY20582,P1088,2027-01-31,4.41,On Hold
PAY20583,P1088,2026-03-31,3.93,Approved
PAY20584,P1088,2026-06-21,11.02,Approved
PAY20585,P1088,2026-11-15,10.73,Partially Paid
PAY20586,P1088,2027-05-30,7.87,Approved
PAY20587,P1088,2026-04-27,5.09,Approved
PAY20588,P1089,2024-06-10,11.11,Paid
PAY20589,P1089,2024-09-04,13.61,
PAY20590,P1089,2024-07-07,0.96,Pending
PAY20591,P1089,2023-11-20,0.46,Paid
PAY20592,P1089,2023-12-18,2.64,Approved
PAY20593,P1090,2023-11-28,7.39,Approved
PAY20594,P1090,2023-07-01,9.52,On Hold
PAY20595,P1090,2023-10-20,6.92,Pending
PAY20596,P1091,2024-07-21,4.13,Partially Paid
PAY20597,P1091,2023-02-21,11.24,On Hold
null,P1091,2023-10-04,5.22,Pending
PAY20599,P1091,2023-07-12,5.28,Partially Paid
PAY20600,P1091,2024-05-08,6.98,Paid
PAY20601,P1091,2024-09-07,12.88,On Hold
PAY20602,P1091,2023-07-20,1.18,Approved
PAY20603,P1091,2024-01-03,9.72,On Hold
PAY20604,P1091,2023-03-02,1.65,Partially Paid
PAY20605,P1091,2023-02-14,2.02,Approved
PAY20606,P1092,,4.78,Partially Paid
PAY20607,P1092,2023-09-08,14.5,On Hold
PAY20608,P1092,2023-10-29,6.11,On Hold
PAY20609, P1092,2023-11-04,2.34,Pending
PAY20610,P1092,2023-08-05,3.18,Approved
PAY20611,P1093,2024-11-25,12.93,On Hold
PAY20612,P1093,2023-06-16,12.05,Approved
PAY20613,P1093,2024-11-01,3.65,On Hold
PAY20614,P1093,2023-10-16,5.77,Paid
PAY20615,P1093,2025-03-25,2.69,On Hold
PAY20616,P1094,2024-10-12,8.23,On Hold
PAY20617,P1094,2025-03-01,12.91,Approved
PAY20618,P1094,2024-08-21,14.4,Partially Paid
PAY20619,P1094,2024-12-25,6.0,On Hold
PAY20620,P1094,2025-02-27,13.43,Partially Paid
PAY20621,P1094,2025-01-07,2.26,Approved
PAY20622,P1095,2023-12-11,3.96,On Hold
PAY20623,P1095,2024-08-10,3.33,On Hold
PAY20624,P1095,2025-05-26,14.4,Paid
PAY20625,P1096,2023-10-03,2.37,Pending
PAY20626,P1096,2024-01-16,6.02,Pending
PAY20627,P1096,2024-07-15,6.02,Pending
PAY20628,P1096,2024-01-22,12.56,Paid
PAY20629,P1096,2023-12-30,14.46,Approved
PAY20630,P1096,2023-10-03,13.42,Paid
PAY20631,P1096,2025-01-01,14.18,Pending
PAY20632,P1096,2023-12-09,6.79,Approved
PAY20633,P1096,2024-04-12,0.41,Paid
PAY20634,P1097,2023-03-12,1.76,On Hold
PAY20635,P1097,2023-02-13,3.67,Partially Paid
PAY20636,P1097,2022-11-16,12.38,On Hold
PAY20637,P1097,2023-02-04,2.52,Approved
PAY20638,P1097,2022-11-03,14.25,Paid
PAY20639 ,P1097,2022-12-29,12.61,Approved
PAY20640,P1097,2022-08-13,9.5,Partially Paid
PAY20641,P1098,2025-10-01,11.44,Pending
PAY20642,P1098,2025-11-07,1.77,On Hold
PAY20643,P1098,2025-05-27,3.81,Partially Paid
PAY20644,P1098,2025-08-06,6.47,Paid
,P1098,2025-03-03,12.67,Approved
PAY20646,P1099,2024-03-03,7.74,Partially Paid
PAY20647,P1099,2024-03-17,12.59,Approved
PAY20648,P1099,2023-05-23,0.44,Partially Paid
PAY20649,P1099,2023-08-13,8.89,Pending
PAY20650,P1099,2024-02-07,6.65,Approved
PAY20651,P1099,2023-06-03,14.96,Partially Paid
PAY20652,P1099,2024-01-23,9.2,On Hold
PAY20653,P1100,2027-03-23,7.9,Partially Paid
PAY20654,P1100,2025-08-22,9.12,On Hold
PAY20655,P1100,2027-11-15,11.96,Paid
PAY20656,P1100,2027-02-19,1.65,Pending
PAY20657,P1100,2026-07-14,8.81,On Hold
PAY20658,P1100,2026-09-14,12.28,Paid
PAY20659,P1100,2026-06-30,9.79,Partially Paid
PAY20660,P1100,2027-11-29,7.05,on hold
PAY20661,P1100,2025-08-17,14.12,Partially Paid
PAY20662,P1101,2022-06-02,8.61,
PAY20663,P1101,2022-12-31,14.2,Paid
PAY20664,P1101,2022-07-11,13.83,Paid
PAY20665,P1102,2025-05-03,5.54,Approved
PAY20666,P1102,2025-08-12,14.61,Pending
PAY20667,P1102,2025-05-27,6.83,Paid
PAY20668,P1102,2025-07-15,7.01,NA
PAY20669,P1102,2025-01-28,3.34,On Hold
PAY20670,,2025-07-12,11.18,Approved
PAY20671 ,P1102,2025-02-09,12.71,Paid
PAY20672,P1102,2025-07-24,5.44,On Hold
PAY20673,P1102,2025-04-07,4.92,Approved
PAY20674,P1102,2024-11-28,13.73,Paid
PAY20675,P1103,2026-04-20,9.42,Pending
PAY20676,P1103,2026-05-25,3.23,Partially Paid
PAY20677,P1103,2026-05-09,5.22,Partially Paid
PAY20678,P1103,2026-05-15,11.38,Pending
PAY20679,P1103,2026-04-25,0.48,Pending
PAY20680,P1103,2026-04-18,13.66,on hold
,P1103,2026-04-11,11.41,On Hold
PAY20682,P1103,2026-02-10,6.12,Paid
PAY20683,P1103,2026-02-20,1.63,On Hold
PAY20684,P1104,2028-04-09,4.13,Approved
PAY20685,P1104,2027-05-18,5.47,Pending
PAY20686,P1104,2026-12-18,1.78,APPROVED
PAY20687,P1104,2027-08-09,8.66,Paid
PAY20688,P1104,2026-10-16,14.99,Partially Paid
PAY20689,P1104,2028-03-13,0.85,On Hold
PAY20690,P1104,2026-04-26,10.1,Approved
PAY20691,P1104,2025-12-15,7.54,Pending
PAY20692,P1104,2026-07-28,13.16,Partially Paid
PAY20693,P1105,2024-02-15,0.43,Pending
PAY20694,P1105,2023-12-13,12.9,Partially Paid
PAY20695,P1105,2024-07-14,6.36,On Hold
PAY20696,P1105,2024-09-18,3.09,Pending
PAY20697,P1105,2024-08-24,8.82,On Hold
PAY20698,P1105,2024-06-18,11.27,Approved
PAY20699,P1106,2023-07-12,5.71,Pending
PAY20700, P1106,2023-03-20,8.22,Paid
PAY20701,P1106,2022-09-11,4.99,Pending
PAY20702,P1106,2023-10-30,8.79,Paid
PAY20703,P1106,2023-09-28,10.7,On Hold
PAY20704,P1106,2023-03-14,1.8,On Hold
PAY20705,P1106,2022-12-16,10.87,On Hold
PAY20706,P1107,2024-07-22,4.22,Paid
PAY20707,P1107,2024-07-19,9.38,Partially Paid
PAY20708,P1107,2024-09-24,6.68,Pending
PAY20709,P1107,2023-12-08,8.51,On Hold
PAY20710,P1107,2024-10-24,1.1,Approved
PAY20711,P1107,2024-07-28,13.05,Pending
PAY20712,P1108,2025-04-17,1.21,Approved
PAY20713,P1108,2025-01-03,14.22,Paid
PAY20714,P1108,2025-09-04,6.6,Pending
PAY20715,P1108,2025-05-30,3.42,Partially Paid
PAY20716,P1109,2026-06-15,10.53,Approved
PAY20717,P1109,2026-03-01,3.68,On Hold
PAY20718,P1109,2026-04-09,2.38,On Hold
PAY20719,P1109,2026-08-27,8.91,Paid
PAY20720,P1109,2026-07-22 ,1.03,Approved
PAY20721,P1109,2026-07-10,2.02,Paid
PAY20722,P1109,2026-07-24,1.19,Partially Paid
PAY20723,P1110,2025-11-16,3.92,On Hold
PAY20724,P1110,2025-10-31,12.58,Paid
PAY20725,P1110,2027-02-24,13.95,Paid
PAY20726,P1110,2026-04-05,1.56,Partially Paid
PAY20727,P1110,2026-12-09,10.59,Partially Paid
PAY20728,P1111,2026-09-10,10.52,Pending
PAY20729,P1111,2026-08-02,2.95,Approved
PAY20730,P1111,2026-08-14,2.87,partially paid
PAY20731,P1111,2026-05-01,7.62,Pending
PAY20732,P1111,2026-05-09,6.17,Pending
PAY20733,P1111,2026-08-10,14.79,Paid
PAY20734,P1111,2026-07-29,6.91,Paid
PAY20735,P1111,2026-05-06,0.55,On Hold
PAY20736,P1111,2025-10-17,14.73,Paid
PAY20737,P1112,2022-11-08,2.74,On Hold
PAY20738,P1112,2022-08-15,0.32,Partially Paid
PAY20739,P1112,2023-06-12,0.66,On Hold
PAY20740,P1112,2024-03-01,5.78,Paid
PAY20741,P1112,2023-01-26,3.03,On Hold
PAY20742,P1112,2023-12-26,2.93,Pending
PAY20743,P1112,2023-07-22,1.68,Pending
PAY20744,P1112,2024-04-08,5.77,Pending
PAY20745,P1113,2026-09-24,12.73,Pending
PAY20746,P1113,2026-03-04,2.45,Partially Paid
PAY20747,P1113,2024-11-01,9.43,On Hold
PAY20748,P1113,2025-02-01,12.16,Approved
PAY20749,P1113,2025-07-26,1.84,Pending
PAY20750,P1113,2026-05-28,7.9,Paid
PAY20751,P1113,2026-02-22,3.1,Pending
PAY20752,P1113,2026-06-20,13.82,Partially Paid
PAY20753,P1113,2026-08-06,8.33,Partially Paid
PAY20754,P1113,2026-01-02,14.17,On Hold
PAY20755,P1114,2026-12-31,3.88,Pending
PAY20756,P1114,2026-09-21,14.42,Partially Paid
PAY20757,P1114,2026-07-30,11.96,Paid
PAY20758,P1114,2027-01-20,1.11,Partially Paid
PAY20759,P1115,2024-01-26,1.59,Approved
PAY20760,P1115,2024-02-02,8.55,On Hold
PAY20761,P1115,2024-01-28,6.06,On Hold
PAY20762,P1115,2024-05-31,3.21,Approved
PAY20763,P1116,2027-01-06,11.51,Approved
PAY20764,P1116,2027-07-08,6.54,Partially Paid
PAY20765,P1116,2026-10-26,1.47,Paid
PAY20766,P1116,2027-02-20,1.79,On Hold
PAY20767,P1116 ,2027-02-12,9.24,Approved
PAY20768,P1117,2025-04-06,11.62,Paid
PAY20769,P1117,2025-12-08,12.51,Pending
PAY20770,P1117,2024-09-15,4.78,On Hold
PAY20771,P1117,2026-01-21,8.26,Approved
PAY20772,P1117,2024-08-04,8.13,
PAY20773,P1117,2025-04-22,5.93,Approved
PAY20774,P1117,2025-12-18,1.02,Partially Paid
PAY20775,P1117,2025-11-18,7.98, Pending
PAY20776,P1117,2025-11-18,5.72,Paid
PAY20777,P1117,2025-01-21,1.71,Pending
PAY20778,P1118,2024-08-24,4.97,Pending
PAY20779,P1118,2024-01-15,3.3,On Hold
PAY20780,P1118,2022-09-10,0.92,Partially Paid
PAY20781,P1118,2023-03-24,13.53,Paid
PAY20782,P1118,2023-06-19,0.32,Pending
PAY20783,P1118,2024-07-01,12.25,Approved
PAY20784,P1119,2026-02-17,12.44,Approved
pay20785,P1119,2026-02-23,0.91,Pending
PAY20786,N/A,null,3.88,Approved
PAY20787,P1119,2026-03-06,10.29,Approved
PAY20788,P1119,2025-11-14,14.12,Approved
PAY20789,P1120,2023-06-14,6.38,Partially Paid
pay20790,P1120,2024-06-24,4.35,Pending
PAY20791,P1120,2024-10-15,3.99,Paid
PAY20792,P1120,2024-07-12,0.87,Partially Paid
PAY20793,p1120,2023-10-13,10.03,Pending
PAY20794,P1120,2023-08-15,9.65,Paid
PAY20795,P1120,2023-11-13,13.56,Partially Paid
PAY20796,P1120,2023-08-11,2.95,Approved
PAY20797,P1120,2023-11-22,14.17,Approved
PAY20798,P1121,2025-11-02,8.16,Approved
PAY20799,P1121,2026-08-21,4.11,Paid
PAY20800,P1121,2026-02-23,12.39,Pending
PAY20801,P1121,2025-04-13,8.43,Partially Paid
PAY20802, P1121,2025-08-08,2.12,Paid
PAY20803,P1121,2026-05-10,7.31,Paid
PAY20804,P1121,2025-09-06,0.81,Partially Paid
PAY20805,P1121,2025-07-22,1.48,Paid
,P1121,2025-09-19,6.68,
PAY20807,P1122,2023-10-26,2.36,On Hold
PAY20808,P1122,2023-11-10,0.86,null
PAY20809,P1122,2023-11-09,14.62,Pending
PAY20810,P1122,2023-10-19,4.94,On Hold
PAY20811 ,P1122,2022-10-20,14.24,Approved
PAY20812,P1122,2023-12-27,14.27,Pending
PAY20813,P1122,2023-04-10,7.07,Paid
PAY20814,P1122,2023-05-01,5.86,Approved
PAY20815,P1122,2023-06-28,1.19,Pending
PAY20816,,2023-08-30,3.12,Partially Paid
PAY20817,P1123,2023-06-20,1.27,Pending
PAY20818,P1123,2023-12-02,8.05,On Hold
PAY20819 ,P1123,2022-09-06,2.36,Approved
PAY20820,P1124,2022-06-15,10.35,Partially Paid
PAY20821,P1124,2023-01-09,8.13,On Hold
PAY20822,P1124,2023-04-22,2.76,Approved
PAY20823,P1125,2023-01-11,2.37,Paid
PAY20824,P1125,2024-11-02,3.7,Partially Paid
PAY20825,P1125,2022-12-06,8.55,Partially Paid
PAY20826,P1125,2024-07-05,2.01,Pending
PAY20827,P1125,2024-09-06,0.77,On Hold
PAY20828,P1125,2023-02-16,0.54,Partially Paid
PAY20829,P1125,2024-07-10,9.76,Approved
PAY20830,P1125,2024-11-04,9.34,Partially Paid
PAY20831,P1126,2026-10-19,7.49,Approved
PAY20832,P1126,2025-11-07,14.71,Partially Paid
PAY20833,P1126,2026-03-24,13.81,Pending
PAY20834,P1126,2026-02-27,8.16,Approved
PAY20835,P1126,2025-07-06,2.38,Pending
PAY20836,P1126,2025-12-21,14.99,Pending
PAY20837,P1127,2025-11-09,6.62,Approved
PAY20838,P1127,2026-01-11,0.88,Partially Paid
PAY20839,P1127,2026-08-03,12.81,Partially Paid
PAY20840,P1127,2026-01-02,12.64,Approved
PAY20841,P1127,2026-02-13,14.14,Partially Paid
PAY20842,P1127,2026-05-31,7.04,Partially Paid
PAY20843,P1127,2026-06-14,14.3,Partially Paid
PAY20844,p1127,2026-05-04,5.23,Partially Paid
PAY20845,P1128,2025-09-26,3.29,Pending
PAY20846,P1128,2024-10-14,8.63,On Hold
PAY20847,P1128,2025-04-09,13.53,On Hold
PAY20848,P1128,2025-05-25,5.78,Approved
PAY20849,P1128,2024-11-06,6.04,Partially Paid
PAY20850,P1129,2025-07-30,9.87,Approved
PAY20851,P1129,2025-10-21,6.33,Pending
,P1129,2024-08-31,5.23,Pending
PAY20853,P1129,2025-11-27,5.92,On Hold
PAY20854,P1130,2024-10-10,14.16,Paid
PAY20855,P1130,2025-02-18,3.3,On Hold
PAY20856,P1130,2025-02-11,2.79,On Hold
PAY20857,P1130,2025-03-09,2.55,Partially Paid
PAY20858,P1130,2025-01-19,11.78,Pending
PAY20859,P1130,2024-10-02,6.32,Partially Paid
PAY20860,P1130,2024-10-26,13.05,Pending
PAY20861,P1130,2025-03-08,13.99,Approved
PAY20862,P1130,2025-01-28,14.01,On Hold
PAY20863,P1131,2026-08-28,1.68,Paid
PAY20864,P1131,2025-10-29,0.57,Paid
PAY20865,P1131,2026-03-04,12.83,Approved
PAY20866,P1132,2023-09-12,11.22,Pending
PAY20867,P1132,2023-12-28,12.65,Approved
PAY20868,P1132,2024-11-16,13.66,On Hold
PAY20869,P1132,2024-05-19,7.26,Pending
PAY20870,P1132,2023-12-10,4.72,On Hold
PAY20871,P1132,2023-07-30,13.54,Pending
PAY20872,P1132,2023-08-03,6.37,On Hold
PAY20873,P1132,2024-11-11,6.29,On Hold
PAY20874,P1133,2024-04-10,10.43,Pending
PAY20875,P1133,2024-01-16,10.04,Pending
PAY20876,P1133,2024-07-03,1.68,Paid
PAY20877,P1133,2024-01-27,13.23,PARTIALLY PAID
PAY20878,P1133,2024-05-31,7.28,Paid
PAY20879,P1133,2024-09-14,10.4,Approved
PAY20880,P1133,2024-07-01,8.88,Pending
PAY20881,P1133,2024-07-05,13.44,Partially Paid
PAY20882,P1133,2024-09-04,5.32,Approved
PAY20883,P1133,2024-01-01,13.33,Paid
PAY20884,P1134,2025-11-28,9.45,Partially Paid
PAY20885,P1134,2025-12-13,1.89,Pending
PAY20886,P1134,2027-04-23,4.98,Paid
PAY20887,P1134,2026-07-11,9.14,Partially Paid
PAY20888,P1134,2025-07-29,9.42,On Hold
PAY20889,P1135,2026-05-11,5.64,Approved
PAY20890,P1135,2026-06-03,7.82,On Hold
PAY20891,,2025-12-13,7.47,Pending
PAY20892,P1135,2026-01-11,9.83, Approved
PAY20893,P1135,2026-08-15,6.87,Partially Paid
PAY20894,P1135,2026-10-30,0.85,Partially Paid
PAY20895,P1135,2026-02-09,5.16,Paid
N/A,P1135,2026-04-01,13.11, On Hold
PAY20897,P1135,2025-11-29,11.09,Paid
NA,P1136,2025-03-24,3.19,Partially Paid
PAY20899,P1136,2025-03-24,5.98,Approved
PAY20900,P1136,2025-03-19,5.2,On Hold
PAY20901,P1136,2025-05-08,6.26,Approved
PAY20902,P1136,2024-07-13,14.16,Approved
PAY20903,P1136, 2025-09-16,3.1,Approved
PAY20904,P1136,2024-11-28,1.48,Partially Paid
PAY20905,P1137,2026-10-01,13.72,On Hold
PAY20906,P1137,2025-03-14,0.59,Pending
PAY20907,P1137, 2025-03-07,3.83,Pending
PAY20908,P1137,2025-12-05,1.21,On Hold
PAY20909,P1138,2022-09-28,12.99,Paid
PAY20910,P1138,2022-07-14,11.11,Approved
PAY20911,P1138,2024-03-24,1.29,On Hold
PAY20912,P1138,2024-04-02,14.49,Partially Paid
PAY20913,P1138,2024-04-07,13.13,Paid
PAY20914,P1138,2024-03-19,2.05,Pending
PAY20915,P1139,2023-12-09,2.99,Paid
PAY20916,P1139,2023-09-20,6.64,Pending
PAY20917,P1139,2024-04-19,0.99,Paid
PAY20918,P1139,2024-10-17,4.98,On Hold
PAY20919,P1139,2024-04-01,7.27,Pending
PAY20920,P1139,2025-02-05,9.18,Pending
PAY20921,P1140,2023-01-13,11.04,On Hold
PAY20922,P1140,2022-05-26,6.78,On Hold
PAY20923,P1140,2022-03-31,1.42,Pending
PAY20924,P1140,2022-12-19,2.37,On Hold
PAY20925,P1140,2022-10-04,10.57,Paid
PAY20926,P1140,2022-10-03,3.01,Approved
PAY20927,P1140,2022-11-13,2.65,On Hold
PAY20928,P1140,2023-01-22,9.12,On Hold
PAY20929,P1140,2023-01-11,3.47,Approved
PAY20930,P1140,2023-03-13,11.1,On Hold
PAY20931,P1141,2026-03-19,13.39,Approved
PAY20932,P1141,2025-03-02,11.38,Paid
PAY20933,P1141,2024-07-20,1.18,Approved
pay20934,P1142,2025-07-03,1.43,Partially Paid
PAY20935,P1142,2024-12-01,14.66,N/A
PAY20936,P1142,2025-05-07,8.93,Approved
PAY20937,P1143,2024-10-11,4.12,Approved
PAY20938,P1143,2024-06-12,5.53,Partially Paid
PAY20939,P1143,2024-03-22,7.62,Partially Paid
PAY20940,P1143,2024-01-23,8.3,Pending
PAY20941,P1144,2027-03-25,2.77,
PAY20942,P1144,2026-09-24,7.11,Partially Paid
PAY20943,P1144,2026-06-29,13.87,Partially Paid
PAY20944,P1144,2026-11-18,13.06,Partially Paid
PAY20945,P1144,2026-11-07,2.5,Partially Paid
PAY20946,P1144,2026-10-04,14.26,Pending
PAY20947,P1145,2026-08-13,14.85,Pending
PAY20948,P1145,2026-09-01,5.64,Partially Paid
PAY20949,P1145,2027-10-07,12.31,Pending
PAY20950,P1145,2025-12-20,9.0,Pending
PAY20951,P1145,2026-02-26,1.65,Partially Paid
PAY20952,P1145,2026-11-14,2.46,Approved
PAY20953,P1145,2026-02-06,0.57,Partially Paid
PAY20954,P1145, 2025-12-28,4.73,On Hold
PAY20955,P1146,2022-09-26,3.05,On Hold
PAY20956,P1146,2023-06-07,7.61,Partially Paid
PAY20957,P1146,2022-08-22,7.44,Paid
PAY20958,P1146,2022-11-29,14.43,Paid
PAY20959,P1146,2022-11-14,10.66,On Hold
PAY20960,P1146,2022-10-28,2.34,On Hold
PAY20961,P1146,2023-02-10,12.1,Partially Paid
PAY20962,P1147,2024-03-12,14.36,Pending
PAY20963,P1147,2025-02-08,9.55,On Hold
PAY20964,P1147 ,2025-05-12,9.27,On Hold
PAY20965,P1147,2024-07-09,8.06,Approved
PAY20966,P1147,2025-03-16,12.16,Pending
PAY20967,P1147,2025-03-12,8.59,Partially Paid
PAY20968,P1147,2024-05-02,0.51,Approved
PAY20969,P1147,2025-04-30,3.88,Approved
PAY20970,P1147,2026-02-01,3.69,Approved
PAY20971,p1147,2025-12-08,13.76,partially paid
PAY20972,P1148,2025-06-22,5.28,Approved
PAY20973,P1148,2025-11-16,3.12,Pending
PAY20974,P1148,null,11.78,On Hold
PAY20975,P1148,2024-07-23,10.69,On Hold
PAY20976,P1148,2024-07-31,12.25,Pending
PAY20977,P1148,2025-04-15,8.56,Paid
PAY20978,P1148,2024-10-17,7.79,Paid
PAY20979,P1149,2024-06-26,2.44,Approved
PAY20980,P1149,2023-07-19,8.06,Partially Paid
PAY20981,P1149,2024-04-11,13.53,Approved
PAY20982,P1149,2023-07-12,6.88,
PAY20983,P1149,2024-07-17,11.61,Pending
PAY20984,P1149,2023-12-11,12.75,Paid
PAY20985,P1149,2024-02-05,3.89,Paid
PAY20986,P1149,2023-11-22,5.5,On Hold
PAY20987,P1149,2024-02-10,8.54,Approved
PAY20988,P1150,2023-07-07,14.78,On Hold
PAY20989,P1150,2024-01-27,8.16,Pending
PAY20990,P1150,2024-02-16,9.06,Paid 
PAY20991,P1150,2023-04-01,11.07,Pending
PAY20992,P1150,2023-07-27,12.03,Approved
PAY20993,P1150,2023-03-08,11.91,Partially Paid
PAY20994,P1150,2023-10-25,12.32,null
PAY20995,P1150,2023-04-02,4.1,Pending
PAY20996,P1151,2024-09-04,0.68,Partially Paid
PAY20997,P1151,2024-10-29,5.69,Pending
PAY20998,P1151,2025-11-10,9.48,On Hold
PAY20999,P1151,2025-01-17,9.01,Approved
PAY21000, P1151,2024-11-28,14.07,Partially Paid
PAY21001,P1151,2025-05-19,3.17,On Hold
PAY21002,P1151,2025-11-17,4.45,On Hold
PAY21003,P1152,2026-05-13,14.35,Paid
PAY21004,P1152,2025-08-09,13.05,On Hold
PAY21005,P1152,2026-10-18,5.69,Approved
,P1152,NA,8.36,Partially Paid
PAY21007,P1152,2027-04-09,5.03,Pending
PAY21008,P1153,2024-09-22,12.58,Paid
PAY21009,P1153,2024-10-08,4.42,On Hold
PAY21010,N/A,2024-08-31,0.83,On Hold
PAY21011,P1153,2023-12-12,10.91,Pending
PAY21012,P1153,2024-07-25,1.19,Paid
PAY21013,P1153,2024-01-24,2.49,On Hold
PAY21014,P1153,2024-02-05,14.12,Pending
PAY21015,P1153,2023-12-31,11.38,Approved
PAY21016,P1154,2025-12-21,6.34,Paid
PAY21017,P1154,2026-07-20,6.16,Paid
PAY21018,P1154,2026-08-05,6.39,Partially Paid
PAY21019,P1154,2026-01-28,8.33,Paid
PAY21020,P1154,2026-02-24,6.87,Paid
PAY21021,P1154,2026-03-23,3.6,Paid
PAY21022,P1154,2026-08-22,0.61,Pending
PAY21023,P1154,2026-07-13,0.88,Pending
PAY21024,P1155,2025-10-13,14.33,Pending
PAY21025,P1155,2026-10-04,4.96,Partially Paid
PAY21026,P1155,2027-02-18,10.14,Paid
PAY21027,P1155,2026-10-14,11.54,Partially Paid
PAY21028,P1155,2025-06-03,10.13,Partially Paid
PAY21029,P1155,2026-11-24,1.25,Pending
PAY21030,P1156,2024-09-20,3.64,Partially Paid
PAY21031,P1156,2024-06-09,5.4,Paid
PAY21032,P1156,2025-03-30,13.25,On Hold
PAY21033,P1157,2026-05-04,3.39,On Hold
PAY21034,P1157,2025-03-31,13.75,On Hold
PAY21035,P1157,2026-01-06,4.17,Approved
PAY21036,P1157,2026-08-29,5.98,Pending
PAY21037,P1157,2025-12-11,5.18,APPROVED
PAY21038,P1158,2023-09-17,2.01, Approved
PAY21039,P1158,2023-10-17,0.68,On Hold
PAY21040,P1158,2024-01-27,10.16,Partially Paid
PAY21041,P1158,2023-06-12 ,2.98,Paid
PAY21042,P1158,2023-09-14,12.12,Pending
PAY21043,P1158,2023-06-10,11.46,Approved
PAY21044,P1158,2024-04-29,10.42,Pending
PAY21045,P1159,2025-01-18,7.09,Pending
PAY21046,P1159,N/A,13.38,Approved
PAY21047,P1159,2024-08-24,7.79,Approved
PAY21048,P1159,2024-01-27,3.44,Pending
PAY21049,P1159,2024-12-21,3.29,Partially Paid
PAY21050,P1159,2026-01-21,5.08,Partially Paid
,P1159,2025-09-22,11.37,Partially Paid
PAY21052,P1160,2024-06-25,9.05,Pending
PAY21053,P1160,2023-10-21,9.34,Paid 
PAY21054,P1160,2023-09-27,9.38,Paid
PAY21055,P1160,2024-01-30,13.97,Approved
PAY21056,P1160,2024-04-26 ,5.88,On Hold
PAY21057,P1160,2023-12-02,1.68,Approved
PAY21058,P1160,2023-12-31,9.78,Partially Paid
 PAY21059,P1160,2024-03-20,1.37,Partially Paid
PAY21060,P1160,2023-09-23,4.64,Paid
PAY21061,P1160,2023-11-12,4.71, Approved
PAY21062,P1161,2026-02-08,2.02,Paid
PAY21063,P1161,2026-11-13,2.83,Paid
PAY21064,P1161,2025-10-10,10.94,Partially Paid
PAY21065,P1161,2027-02-27,10.5,Approved
PAY21066,P1161,2026-04-16,0.58,On Hold
PAY21067,P1161,2026-11-17,1.18,Pending
PAY21068,P1161,2026-02-19,1.21,Partially Paid
PAY21069,P1161,2025-08-13,0.8,Partially Paid
PAY21070,P1161,2026-11-02,6.33,Paid
PAY21071,P1161,2027-02-24,13.49,Paid
PAY21072,P1162,2023-05-08,4.4,Partially Paid
PAY21073,P1162,2022-12-29,12.08,Paid
PAY21074,P1162,2023-04-28,4.26,Pending
PAY21075,P1162,2023-01-07,10.42,Paid
PAY21076,P1162,2023-04-23,0.9,On Hold
PAY21077,P1162,2023-06-09,12.89,On Hold
PAY21078,P1162,2023-05-06,7.46,Pending
PAY21079,P1163,2022-10-25,5.62,On Hold
PAY21080,P1163,2022-12-06,6.98,Partially Paid
PAY21081,P1163,2023-03-06,2.67,Approved
PAY21082,P1164,2025-04-23,11.09,Approved
PAY21083,P1164,2025-06-06,2.82,Partially Paid
PAY21084,P1164,2025-05-19,7.15,Approved
PAY21085,P1164,2025-12-07,4.56,Partially Paid
