Project_ID,Project_Name,Project_Type,Region,Start_Date,Planned_End_Date,Actual_End_Date,Planned_Budget_Cr,Actual_Cost_Cr,Planned_Progress_Pct,Actual_Progress_Pct,Contractor_ID,Status
P1239,Power Project 239,Power,North,2025-06-07,2027-10-18,2027-10-23,28.54,33.99,100,100,C108,Completed
P1240,Airport Project 240,Airport,South,2022-09-17,2024-02-14,2024-03-30,65.62,79.4,100,56,C106,Delayed
P1241,BRIDGE PROJECT 241,Bridge,West,2024-11-12,2026-07-13,2026-07-18,71.24,75.54,100,100,C108,Completed
P1242,Railway Project 242,Railway,Northeast,2022-01-06,2022-10-18,,50.06,59.5,94,15,C109,On Hold
P1243,Highway Project 243,Highway,Central,2025-09-04,2027-07-05,2027-07-15,79.6,80.11,100,100,C112,Completed
P1244,Highway Project 244,Highway,South,2024-11-22,2025-09-05,,158.84,162.64,69,28,C104,At Risk
P1245,Highway Project 245,Highway,East,2023-08-21,2025-11-15,2026-06-07,49.72,57.04,100,94,C104,Delayed
P1246,Railway Project 246,Railway,South,2024-04-19,2025-01-08,2025-02-12,117.38,123.36,100,100,C101,Completed
P1247,Power Project 247,Power,Northeast,2023-09-22,2024-09-02,2024-09-12,80.21,83.04,100,100,C112,Completed
P1248,Highway Project 248,Highway,South,2024-04-25, 2026-01-06,,107.89,120.16,43,35,C109,Ongoing
P1249,Power Project 249,Power,Northeast,2023-04-30,2024-10-19,2024-11-23,167.28,161.79,100,100,C103,Completed
P1250,Railway Project 250,Railway,North,2022-10-06,2025-01-21,2025-01-21,36.27,45.77,100,100,C104,Completed
P1099,Bridge Project 99,Bridge,Central,2023-03-12,2024-04-13,2024-06-24,68.22,67.32,100,61,C109,Delayed
P1122,Bridge Project 122,Bridge,Northeast,2022-09-13,2024-02-26,2024-03-02,54.92,68.27,100,100,C109,Completed
